0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:08 +0530] "GET /Epra/images/b2.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:08 +0530] "GET /Epra/images/slideshow/b16.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:08 +0530] "GET /Epra/images/a4jpg HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:08 +0530] "GET /Epra/images/slideshow/a5.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:08 +0530] "GET /Epra/images/slideshow/b1.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:08 +0530] "GET /Epra/images/slideshow/b9.jpeg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:08 +0530] "GET /Epra/images/govt.jpg.jpg HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:08 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:09 +0530] "GET /Epra/images/b2.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:11 +0530] "GET /Epra/images/b2.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:30 +0530] "GET /Epra/images/slideshow/b16.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:32 +0530] "GET /Epra/images/slideshow/b16.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:38 +0530] "GET /Epra/images/a4jpg HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:38 +0530] "GET /Epra/images/a4jpg HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:40 +0530] "GET /Epra/images/a4jpg HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:40 +0530] "GET /Epra/images/slideshow/a5.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:41 +0530] "GET /Epra/images/slideshow/a5.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:49 +0530] "GET /Epra/images/slideshow/b1.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:49 +0530] "GET /Epra/images/slideshow/b1.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:08:51 +0530] "GET /Epra/images/slideshow/b1.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:02 +0530] "GET /Epra/images/slideshow/b9.jpeg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:04 +0530] "GET /Epra/images/slideshow/b9.jpeg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:13 +0530] "GET /Epra/images/slideshow/b16.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:15 +0530] "GET /Epra/images/slideshow/b16.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:18 +0530] "GET /Epra/images/govt1.jpg HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:18 +0530] "GET /Epra/images/govt1.jpg HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:20 +0530] "GET /Epra/images/govt1.jpg HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:20 +0530] "GET /Epra/images/govt.jpg.jpg HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:21 +0530] "GET /Epra/images/govt.jpg.jpg HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:21 +0530] "GET /Epra/images/b2.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:21 +0530] "GET /Epra/images/b2.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:23 +0530] "GET /Epra/images/b2.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:42 +0530] "GET /Epra/images/slideshow/b16.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:44 +0530] "GET /Epra/images/slideshow/b16.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:50 +0530] "GET /Epra/images/a4jpg HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:50 +0530] "GET /Epra/images/a4jpg HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:52 +0530] "GET /Epra/images/a4jpg HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:52 +0530] "GET /Epra/images/slideshow/a5.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:52 +0530] "GET /Epra/images/slideshow/a5.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:09:53 +0530] "GET /Epra/images/slideshow/a5.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:01 +0530] "GET /Epra/images/slideshow/b1.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:01 +0530] "GET /Epra/images/slideshow/b1.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:03 +0530] "GET /Epra/images/slideshow/b1.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:14 +0530] "GET /Epra/images/slideshow/b9.jpeg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:16 +0530] "GET /Epra/images/slideshow/b9.jpeg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:25 +0530] "GET /Epra/images/slideshow/b16.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:27 +0530] "GET /Epra/images/slideshow/b16.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:30 +0530] "GET /Epra/images/govt1.jpg HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:32 +0530] "GET /Epra/images/govt1.jpg HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:32 +0530] "GET /Epra/images/govt.jpg.jpg HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:33 +0530] "GET /Epra/images/govt.jpg.jpg HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:33 +0530] "GET /Epra/images/b2.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:33 +0530] "GET /Epra/images/b2.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:35 +0530] "GET /Epra/images/b2.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:36 +0530] "GET /Epra/index.jsp HTTP/1.1" 200 136856
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:36 +0530] "GET /Epra/images/govt1.jpg HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:36 +0530] "GET /Epra/images/govt.jpg.jpg HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:36 +0530] "GET /Epra/images/b2.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:36 +0530] "GET /Epra/images/slideshow/b16.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:36 +0530] "GET /Epra/images/a4jpg HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:36 +0530] "GET /Epra/images/slideshow/a5.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:36 +0530] "GET /Epra/images/slideshow/b1.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:36 +0530] "GET /Epra/images/slideshow/b9.jpeg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:36 +0530] "GET /Epra/images/govt.jpg.jpg HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:36 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:38 +0530] "GET /Epra/images/b2.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:38 +0530] "GET /Epra/images/b2.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:39 +0530] "GET /Epra/images/b2.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:57 +0530] "GET /Epra/images/slideshow/b16.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:10:58 +0530] "GET /Epra/images/slideshow/b16.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:11:01 +0530] "GET /Epra/search.jsp HTTP/1.1" 200 11725
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:11:01 +0530] "GET /Epra/images/slideshow/b1.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:11:01 +0530] "GET /Epra/images/slideshow/b16.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:11:01 +0530] "GET /Epra/images/a4jpg HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:11:01 +0530] "GET /Epra/images/slideshow/a5.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:11:01 +0530] "GET /Epra/images/slideshow/b9.jpeg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:11:01 +0530] "GET /Epra/jscript/drop2.gif HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:11:01 +0530] "GET /Epra/jscript/left1.gif HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:11:01 +0530] "GET /Epra/jscript/drop1.gif HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:11:01 +0530] "GET /Epra/jscript/right1.gif HTTP/1.1" 404 997
